# Residuals         
# Time              	p_rgh               	k                   	omega               
222.6609            	2.976487197608e-04	8.135479421957e-06	4.178570520048e-06
222.6762            	2.961538351964e-04	8.158432958822e-06	4.161259397144e-06
222.6915            	2.963925932369e-04	8.327589693730e-06	4.299116770387e-06
222.7068            	2.934922450839e-04	8.427966515167e-06	4.222704570509e-06
222.7221            	2.987569881187e-04	8.512696918902e-06	4.184433468341e-06
222.7374            	3.014662568180e-04	8.523656286007e-06	4.157963465559e-06
222.7527            	2.988474885640e-04	8.514900832406e-06	4.140540597550e-06
222.768             	3.025564782072e-04	8.466277676958e-06	4.148178373329e-06
222.7833            	3.022466032682e-04	8.532467261288e-06	4.172596373590e-06
222.7986            	3.073350656619e-04	8.455922106848e-06	4.154775952030e-06
222.8139            	3.050588611248e-04	8.270012407189e-06	4.072353158199e-06
222.8292            	3.040517685096e-04	8.227610546820e-06	4.087644707888e-06
222.8445            	3.081865855002e-04	8.027499577937e-06	4.059368127514e-06
222.8598            	3.058449165956e-04	8.008505432980e-06	3.986625594601e-06
222.8751            	3.071393384152e-04	7.909732404973e-06	3.976961408004e-06
222.8904            	3.074164650773e-04	7.947878266939e-06	4.006749874094e-06
222.9057            	3.074934885027e-04	7.981713089975e-06	4.015809007425e-06
222.921             	3.039020378789e-04	8.105886563100e-06	4.022275787970e-06
222.9363            	3.049882571743e-04	8.306908578836e-06	4.050844480387e-06
222.9516            	3.089088285422e-04	8.334344686436e-06	4.072798583057e-06
222.9669            	3.056030919352e-04	8.377955302836e-06	4.035763379181e-06
222.9822            	3.117388773214e-04	8.413191570945e-06	4.006637177732e-06
222.9975            	3.117061885605e-04	8.428191227664e-06	3.989908544996e-06
223.0128            	3.107944405637e-04	8.413394846738e-06	4.042794164572e-06
223.0281            	3.064995464507e-04	8.398562260892e-06	4.109428794176e-06
223.0434            	3.080846142989e-04	8.350252108028e-06	4.010312842238e-06
223.0587            	3.108106103642e-04	8.340171803955e-06	3.965596169576e-06
223.074             	3.068656222698e-04	8.120815059786e-06	3.905141442527e-06
223.0893            	3.085013225413e-04	8.064133578086e-06	3.843772679685e-06
223.1046            	3.120878328017e-04	7.885552962036e-06	3.873586311397e-06
