# Motion State      
# Angle Units       : [deg]
# Angular Velocity Units: [rad/s]
# Time              	Centre of rotation	Orientation	Linear velocity	Angular velocity
0.63337             	(-1.236463189248e-01 1.936879576363e-06 -2.995765190994e-01)	(4.221980619288e-04 1.149350243597e+00 2.009717019484e-04)	(2.840006721288e-01 6.236123972038e-05 -5.932776806971e-01)	(9.695594887332e-05 -8.794299056458e-01 -1.004409469271e-05)
0.64337             	(-1.207370993126e-01 2.585149658795e-06 -3.052947215053e-01)	(3.637950517985e-04 1.652105964161e+00 2.084706867380e-04)	(2.978432503089e-01 6.729277676594e-05 -5.503628004774e-01)	(1.005804126893e-04 -8.755186264831e-01 -1.114628623868e-05)
0.65337             	(-1.176990191416e-01 3.274537246970e-06 -3.105734484566e-01)	(3.035945437721e-04 2.151628478917e+00 2.170602073853e-04)	(3.097727839022e-01 7.058474086910e-05 -5.053825897889e-01)	(1.029692478761e-04 -8.681438883544e-01 -1.185840574541e-05)
0.66337             	(-1.145517815709e-01 3.989921704974e-06 -3.153936812763e-01)	(2.423659989422e-04 2.645974758627e+00 2.265529984370e-04)	(3.196747302249e-01 7.249215073160e-05 -4.586639741604e-01)	(1.038911002400e-04 -8.574501576423e-01 -1.232610661447e-05)
0.67337             	(-1.113161331331e-01 4.720326604299e-06 -3.197397099042e-01)	(1.807705034910e-04 3.133288948136e+00 2.368440942156e-04)	(3.274549573390e-01 7.358882913357e-05 -4.105417514169e-01)	(1.039652275776e-04 -8.435972629347e-01 -1.274985565955e-05)
0.68337             	(-1.080136357984e-01 5.457591545202e-06 -3.235992400828e-01)	(1.192612510298e-04 3.611811867478e+00 2.478551348450e-04)	(3.330445096126e-01 7.386415904703e-05 -3.613642842975e-01)	(1.033047130983e-04 -8.267628357111e-01 -1.304595513835e-05)
0.69337             	(-1.046664076410e-01 6.200171002463e-06 -3.269634992814e-01)	(5.805561166572e-05 4.079890257512e+00 2.596192650695e-04)	(3.364011218540e-01 7.465173240515e-05 -3.114875554245e-01)	(1.026271159195e-04 -8.071389779218e-01 -1.367818774243e-05)
0.70337             	(-1.012968658248e-01 6.952427012765e-06 -3.298272707322e-01)	(-3.028410890789e-06 4.535983751150e+00 2.722435465354e-04)	(3.375072414006e-01 7.579946965529e-05 -2.612667347292e-01)	(1.026056212080e-04 -7.849276552308e-01 -1.436037210189e-05)
0.71337             	(-9.792748341004e-02 7.717832443527e-06 -3.321888704723e-01)	(-6.410087286955e-05 4.978669814853e+00 2.858070709102e-04)	(3.363692415439e-01 7.728161649706e-05 -2.110532132874e-01)	(1.023198865618e-04 -7.603382186464e-01 -1.529170973909e-05)
0.72337             	(-9.458056096614e-02 8.502581167893e-06 -3.340500841414e-01)	(-1.252227086595e-04 5.406646673301e+00 3.004733148639e-04)	(3.330152472360e-01 7.966812837613e-05 -1.611895205412e-01)	(1.025202233753e-04 -7.335828428740e-01 -1.657913427459e-05)
0.73337             	(-9.127801411259e-02 9.313462593828e-06 -3.354160525187e-01)	(-1.865607966290e-04 5.818734164962e+00 3.164273615204e-04)	(3.274941234739e-01 8.250815681096e-05 -1.120041549260e-01)	(1.028243282581e-04 -7.048738654030e-01 -1.815489352392e-05)
0.74337             	(-8.804117413262e-02 1.015605399565e-05 -3.362951012598e-01)	(-2.479727476157e-04 6.213873438119e+00 3.338953427049e-04)	(3.198738725204e-01 8.601012355403e-05 -6.380559328884e-02)	(1.025421034224e-04 -6.744223998895e-01 -2.033512956927e-05)
0.75337             	(-8.489058829047e-02 1.103494401586e-05 -3.366985737089e-01)	(-3.091268616099e-04 6.591127272032e+00 3.531250605261e-04)	(3.102432959102e-01 8.976788048695e-05 -1.688889652489e-02)	(1.017075922711e-04 -6.424419048676e-01 -2.296759335543e-05)
0.76337             	(-8.184583971398e-02 1.195163817471e-05 -3.366406696891e-01)	(-3.697441990610e-04 6.949679983906e+00 3.742831862408e-04)	(2.987064193877e-01 9.357095128348e-05 2.846970048227e-02)	(1.004753014424e-04 -6.091431692718e-01 -2.592520327347e-05)
0.77337             	(-7.892543281253e-02 1.291060283603e-05 -3.361381660152e-01)	(-4.297643281858e-04 7.288832301940e+00 3.975840836313e-04)	(2.853749609016e-01 9.822198098023e-05 7.203103429601e-02)	(9.945511274668e-05 -5.747217551938e-01 -2.942627270762e-05)
0.78337             	(-7.614669144613e-02 1.392111750653e-05 -3.352101150797e-01)	(-4.894245857344e-04 7.607995330516e+00 4.233439120137e-04)	(2.703733123791e-01 1.038809531200e-04 1.135791528137e-01)	(9.907123010227e-05 -5.393673861107e-01 -3.347700859225e-05)
0.79337             	(-7.352564646002e-02 1.499572590991e-05 -3.338776087540e-01)	(-5.491779234470e-04 7.906687201157e+00 4.519558739998e-04)	(2.538356848411e-01 1.110407275551e-04 1.529221123108e-01)	(9.964694616614e-05 -5.032639337605e-01 -3.822477139578e-05)
0.80337             	(-7.107700602255e-02 1.615190841926e-05 -3.321634285719e-01)	(-6.095664142103e-04 8.184525014337e+00 4.839669233059e-04)	(2.358924026544e-01 1.201957743153e-04 1.899139241214e-01)	(1.011669421892e-04 -4.665729932176e-01 -4.399170376516e-05)
0.81337             	(-6.881417454905e-02 1.740667894333e-05 -3.300916865736e-01)	(-6.712428650265e-04 8.441214847939e+00 5.198653607825e-04)	(2.166738920440e-01 1.307583305003e-04 2.244344755343e-01)	(1.040275343805e-04 -4.294435591617e-01 -5.017055519002e-05)
0.82337             	(-6.674925491859e-02 1.877547446337e-05 -3.276875824181e-01)	(-7.349004153475e-04 8.676545164098e+00 5.600283725957e-04)	(1.963100340491e-01 1.430007735071e-04 2.563863555718e-01)	(1.079776762507e-04 -3.920142122141e-01 -5.693367360750e-05)
0.83337             	(-6.489307531610e-02 2.026990632220e-05 -3.249771381089e-01)	(-8.009888158701e-04 8.890379176180e+00 6.047652686880e-04)	(1.749258864482e-01 1.558855982596e-04 2.857025062670e-01)	(1.124354071856e-04 -3.544073027784e-01 -6.397912566912e-05)
0.84337             	(-6.325522586702e-02 2.189366557564e-05 -3.219869115757e-01)	(-8.696781092991e-04 9.082645839857e+00 6.541878362849e-04)	(1.526440033675e-01 1.688662524267e-04 3.123428003709e-01)	(1.170313428700e-04 -3.167299643769e-01 -7.106342800851e-05)
