# Residuals         
# Time              	p                   	k                   	omega               
23.60337            	3.741096490547e-02	4.831125561236e-07	8.342381213554e-07
23.61337            	3.425289527075e-02	4.882445400902e-07	8.352492936040e-07
23.62337            	3.141125740389e-02	4.926513559491e-07	8.361000091954e-07
23.63337            	2.897453022280e-02	4.962481205771e-07	8.367766482417e-07
23.64337            	2.683767466684e-02	4.990656669888e-07	8.371885392856e-07
23.65337            	2.494852333428e-02	5.009537653119e-07	8.373089990820e-07
23.66337            	2.322071470695e-02	5.019941063926e-07	8.371093866586e-07
23.67337            	2.168820897753e-02	5.020552238472e-07	8.365927751136e-07
23.68337            	2.034400040724e-02	5.012195118880e-07	8.357201534662e-07
23.69337            	1.915576318055e-02	4.996188423618e-07	8.345114198795e-07
23.70337            	1.815938237913e-02	4.971841101086e-07	8.329693696484e-07
23.71337            	1.735934080382e-02	4.940634596542e-07	8.311509230377e-07
23.72337            	1.665656440170e-02	4.904162055887e-07	8.290527485084e-07
23.73337            	1.600914557159e-02	4.863230493923e-07	8.266947524819e-07
23.74337            	1.542874257821e-02	4.818769227971e-07	8.241505789097e-07
23.75337            	1.500145490549e-02	4.770738984328e-07	8.214115760666e-07
23.76337            	1.500400214565e-02	4.720538514924e-07	8.185212705679e-07
23.77337            	1.544120510544e-02	4.670691037338e-07	8.154901023540e-07
23.78337            	1.624128174286e-02	4.622346271703e-07	8.123374375770e-07
23.79337            	1.727058064866e-02	4.575961139796e-07	8.091312015433e-07
23.80337            	1.856657538618e-02	4.530053511108e-07	8.059091403298e-07
23.81337            	2.015502328640e-02	4.484437198681e-07	8.027246071503e-07
23.82337            	2.191696541799e-02	4.439152349910e-07	7.995884557248e-07
23.83337            	2.396872703150e-02	4.394738877275e-07	7.965121114019e-07
23.84337            	2.608424889889e-02	4.350911398927e-07	7.934880104875e-07
23.85337            	2.838344560677e-02	4.308560472864e-07	7.905934556627e-07
23.86337            	3.103477005988e-02	4.267749785307e-07	7.878949676470e-07
23.87337            	3.404447572633e-02	4.227391026430e-07	7.854248813540e-07
23.88337            	3.740281547927e-02	4.188630276062e-07	7.831921897058e-07
23.89337            	4.137950935143e-02	4.150168099422e-07	7.812087377774e-07
