# Residuals         
# Time              	p_rgh               	k                   	omega               
523.5205824007      	4.735874119904e-05	7.318473597262e-07	7.609026108915e-08
523.5235824007      	4.751649060073e-05	7.233045430238e-07	7.575237371619e-08
523.5265824007      	4.730097530782e-05	7.278747228834e-07	7.427953054155e-08
523.5295824007      	4.752702239384e-05	7.360736891995e-07	7.482538416578e-08
523.5325824007      	4.769209244265e-05	7.308022563521e-07	7.570267961531e-08
523.5355824007      	4.785307817642e-05	7.221653340409e-07	7.850668946961e-08
523.5385824007      	4.749519503660e-05	7.273145426466e-07	7.606783788480e-08
523.5415824007      	4.739014046803e-05	7.306958276961e-07	7.624921880574e-08
523.5445824007      	4.723120090365e-05	7.221746994771e-07	7.683027263058e-08
523.5475824007      	4.737377853409e-05	7.179454313766e-07	7.683374998574e-08
523.5505824007      	4.704821573910e-05	7.249310674203e-07	7.693462748049e-08
523.5535824007      	4.706702184187e-05	7.265704160165e-07	7.715056947416e-08
523.5565824007      	4.694205457040e-05	7.246417497893e-07	7.735294094946e-08
523.5595824007      	4.681507421059e-05	7.299851055656e-07	7.952245292159e-08
523.5625824007      	4.707870013356e-05	7.340549922762e-07	7.802211428750e-08
523.5655824007      	4.680698854838e-05	7.230700610666e-07	7.682802103151e-08
523.5685824007      	4.718614268441e-05	7.147113728345e-07	7.632126130326e-08
523.5715824007      	4.716006691756e-05	7.187708278549e-07	7.620945765427e-08
523.5745824007      	4.711691253488e-05	7.279688849323e-07	7.671802008496e-08
523.5775824007      	4.695236451841e-05	7.285842527961e-07	7.721445572787e-08
523.5805824007      	4.675092585718e-05	7.214022034396e-07	7.657926338749e-08
523.5835824007      	4.656316545343e-05	7.150255594703e-07	7.668198943690e-08
523.5865824007      	4.666172159623e-05	7.182622223431e-07	7.558270897105e-08
523.5895824007      	4.664182323711e-05	7.204335166071e-07	7.621772071713e-08
523.5925824007      	4.644692972157e-05	7.218342852411e-07	7.573287223019e-08
523.5955824007      	4.663437399403e-05	7.253287200388e-07	7.548154336959e-08
523.5985824007      	4.643113412947e-05	7.194349659784e-07	7.584873125889e-08
523.6015824007      	4.647919274495e-05	7.116487973481e-07	7.524934531319e-08
523.6045824007      	4.641272388647e-05	7.160212264240e-07	7.588887741007e-08
523.6075824007      	4.653730450441e-05	7.156490233060e-07	7.585973233272e-08
523.6105824007      	4.653333497607e-05	7.128977953080e-07	7.545842692453e-08
523.6135824007      	4.655198456243e-05	7.174695765171e-07	7.532477605306e-08
523.6165824007      	4.669108949363e-05	7.210932559926e-07	7.576522763520e-08
523.6195824007      	4.666609058038e-05	7.250816959439e-07	7.546488959697e-08
523.6225824007      	4.651301743238e-05	7.198940611552e-07	7.656058746637e-08
523.6255824007      	4.639878476973e-05	7.087059199309e-07	7.595147029991e-08
523.6285824007      	4.628488619720e-05	7.173784509673e-07	7.520038257486e-08
523.6315824007      	4.584636318651e-05	7.235473197543e-07	7.601242553062e-08
523.6345824007      	4.578210739229e-05	7.255199946372e-07	7.611427409237e-08
523.6375824007      	4.582156927330e-05	7.229962130208e-07	7.676524435506e-08
523.6405824007      	4.563070959018e-05	7.213258135268e-07	7.644244510261e-08
523.6435824007      	4.565788314881e-05	7.230769530153e-07	7.695334558029e-08
523.6465824007      	4.594255860303e-05	7.268281041056e-07	7.665086173489e-08
523.6495824007      	4.590471268986e-05	7.280412965284e-07	7.692956179397e-08
523.6525824007      	4.613208248528e-05	7.296056954907e-07	7.645948904222e-08
523.6555824007      	4.613535074601e-05	7.239489592190e-07	7.699536111228e-08
523.6585824007      	4.616763782559e-05	7.242376295299e-07	7.709026680126e-08
523.6615824007      	4.659528449961e-05	7.276633964207e-07	7.750367775129e-08
523.6645824007      	4.647421472742e-05	7.245282863128e-07	7.772482439933e-08
523.6675824007      	4.627468775748e-05	7.278822041759e-07	7.731303430929e-08
523.6705824007      	4.610688165207e-05	7.316851836560e-07	7.674896218593e-08
523.6735824007      	4.583688049756e-05	7.320121052563e-07	7.689210581511e-08
523.6765824007      	4.590091067111e-05	7.339688875720e-07	7.791395331654e-08
523.6795824007      	4.609291601551e-05	7.296755670385e-07	8.188600150472e-08
523.6825824007      	4.599976000803e-05	7.237106434367e-07	7.866151821599e-08
523.6855824007      	4.572769143181e-05	7.307663308661e-07	7.882775493000e-08
523.6885824007      	4.566448806932e-05	7.448855229625e-07	7.790302102132e-08
523.6915824007      	4.565862464332e-05	7.387238787185e-07	7.698648943113e-08
523.6945824007      	4.558042260421e-05	7.273862239540e-07	7.674284274180e-08
523.6975824007      	4.556182339682e-05	7.276287652564e-07	7.627079303138e-08
523.7005824007      	4.510178358027e-05	7.321852162779e-07	7.685915921775e-08
523.7035824007      	4.522043410974e-05	7.336300982673e-07	7.653965449936e-08
523.7065824007      	4.486946977580e-05	7.383682262090e-07	7.643155088326e-08
523.7095824007      	4.481699487174e-05	7.376720515639e-07	7.594829553499e-08
523.7125824007      	4.456276814549e-05	7.374439615991e-07	7.712121176871e-08
523.7155824007      	4.444921575204e-05	7.356324443636e-07	7.651892404790e-08
523.7185824007      	4.426143296714e-05	7.279239284568e-07	7.624218143965e-08
523.7215824007      	4.428315529069e-05	7.263130514001e-07	7.537166059850e-08
523.7245824007      	4.418944423561e-05	7.427458739634e-07	7.643889031768e-08
523.7275824007      	4.460586058089e-05	7.436116607589e-07	7.741768161933e-08
523.7305824007      	4.446061180823e-05	7.280954296360e-07	7.620383642460e-08
523.7335824007      	4.450529478113e-05	7.274245910216e-07	7.612825510894e-08
523.7365824007      	4.443346319370e-05	7.318176551215e-07	7.583097205765e-08
523.7395824007      	4.421416951713e-05	7.314202698453e-07	7.568310102733e-08
523.7425824007      	4.423081763700e-05	7.347196132519e-07	7.519264235932e-08
523.7455824007      	4.403882459323e-05	7.347115833463e-07	7.584134238481e-08
523.7485824007      	4.432567434509e-05	7.305353367761e-07	7.563874255037e-08
523.7515824007      	4.414164654363e-05	7.270998429769e-07	7.589335152250e-08
523.7545824007      	4.431393903171e-05	7.249738341119e-07	7.495897644434e-08
523.7575824007      	4.420693037685e-05	7.294754291955e-07	7.404112440496e-08
523.7605824007      	4.431041786277e-05	7.386357451970e-07	7.540912375327e-08
523.7635824007      	4.419422931020e-05	7.351374385045e-07	7.569311191037e-08
523.7665824007      	4.406193758271e-05	7.171724404466e-07	7.516463055310e-08
523.7695824007      	4.411551717978e-05	7.158999147283e-07	7.375907186302e-08
523.7725824007      	4.429163171242e-05	7.348246568057e-07	7.522499288182e-08
523.7755824007      	4.438626344885e-05	7.295228483690e-07	7.527149495676e-08
523.7785824007      	4.465959210652e-05	7.139132289397e-07	7.395847379832e-08
523.7815824007      	4.464741330636e-05	7.180615283316e-07	7.347515010744e-08
523.7845824007      	4.495615727806e-05	7.305310877221e-07	7.464429013303e-08
523.7875824007      	4.487137127197e-05	7.259299327822e-07	7.442751692374e-08
523.7905824007      	4.484284323509e-05	7.185283195583e-07	7.410880006958e-08
523.7935824007      	4.469466573417e-05	7.256375659531e-07	7.362382403500e-08
523.7965824007      	4.513056361082e-05	7.311752722360e-07	7.437702438413e-08
523.7995824007      	4.485516420011e-05	7.248184421674e-07	7.421767912537e-08
523.8025824007      	4.505791478850e-05	7.193780875196e-07	7.341030429838e-08
523.8055824007      	4.485790620622e-05	7.216335207339e-07	7.345628052056e-08
523.8085824007      	4.482965298138e-05	7.208253798980e-07	7.361186062321e-08
523.8115824007      	4.491180877233e-05	7.173339897736e-07	7.346225870209e-08
523.8145824007      	4.494766918987e-05	7.107097603586e-07	7.396567344806e-08
523.8175824007      	4.488288553705e-05	7.137964651840e-07	7.370248507757e-08
523.8205824007      	4.489070287103e-05	7.286324236036e-07	7.431729723438e-08
523.8235824007      	4.477117221425e-05	7.240813534888e-07	7.394066616503e-08
523.8265824007      	4.471185224382e-05	7.106833264910e-07	7.383267583420e-08
523.8295824007      	4.478737952808e-05	7.121853950878e-07	7.401067187390e-08
523.8325824007      	4.500768257508e-05	7.231263492605e-07	7.416132217611e-08
523.8355824007      	4.464648626359e-05	7.212460207535e-07	7.362714787470e-08
523.8385824007      	4.494628284474e-05	7.144110166151e-07	7.338385923091e-08
523.8415824007      	4.504138153844e-05	7.087868497139e-07	7.376799351334e-08
523.8445824007      	4.504111856966e-05	7.161199876666e-07	7.361478082971e-08
523.8475824007      	4.487141964054e-05	7.243093751491e-07	7.374883450244e-08
523.8505824007      	4.474174098654e-05	7.224051345411e-07	7.395359516417e-08
523.8535824007      	4.458648874329e-05	7.184283578686e-07	7.304677850487e-08
523.8565824007      	4.491363059442e-05	7.198793075155e-07	7.401256800671e-08
523.8595824007      	4.473006506385e-05	7.191461638151e-07	7.459303930661e-08
523.8625824007      	4.471512663521e-05	7.158783635748e-07	7.438392491519e-08
523.8655824007      	4.447091624326e-05	7.140166797793e-07	7.407096608868e-08
523.8685824007      	4.450433332080e-05	7.209168844426e-07	7.465149317640e-08
523.8715824007      	4.457986810886e-05	7.262653187521e-07	7.460262239902e-08
523.8745824007      	4.468200024628e-05	7.263593459719e-07	7.446742648283e-08
523.8775824007      	4.467016377663e-05	7.208717005754e-07	7.459204110432e-08
523.8805824007      	4.484315825829e-05	7.156745760911e-07	7.392351590303e-08
523.8835824007      	4.482820823722e-05	7.222913892854e-07	7.416065844029e-08
523.8865824007      	4.523364709635e-05	7.332106569820e-07	7.504408402917e-08
523.8895824007      	4.502162456234e-05	7.343253406095e-07	7.577787049365e-08
523.8925824007      	4.496326338451e-05	7.223368479749e-07	7.456276201282e-08
523.8955824007      	4.476104143136e-05	7.164199261320e-07	7.449762680787e-08
523.8985824007      	4.472079839265e-05	7.218668497101e-07	7.479582163364e-08
523.9015824007      	4.464661407772e-05	7.276508452950e-07	7.475474626170e-08
523.9045824007      	4.452555578888e-05	7.361732363700e-07	7.441099993705e-08
523.9075824007      	4.441882814726e-05	7.291398004250e-07	7.461935608311e-08
523.9105824007      	4.458888992233e-05	7.297542115981e-07	7.435977957533e-08
523.9135824007      	4.472494243866e-05	7.361755421124e-07	7.502059174469e-08
523.9165824007      	4.493169537156e-05	7.247457722193e-07	7.395611024870e-08
523.9195824007      	4.492268296953e-05	7.289590498287e-07	7.398746784923e-08
523.9225824007      	4.503730188198e-05	7.406592460569e-07	7.571596535786e-08
523.9255824007      	4.502733122017e-05	7.355522209234e-07	7.560017806201e-08
523.9285824007      	4.487410480852e-05	7.271677526162e-07	7.502498167088e-08
523.9315824007      	4.504400526066e-05	7.267369034409e-07	7.437514881266e-08
523.9345824007      	4.490728607830e-05	7.353472705038e-07	7.506823825981e-08
523.9375824007      	4.477692265094e-05	7.371832752430e-07	7.587322882834e-08
523.9405824007      	4.474764772855e-05	7.377964848762e-07	7.745414580919e-08
523.9435824007      	4.462607475561e-05	7.390809652523e-07	7.753292966389e-08
523.9465824007      	4.473934953851e-05	7.409681510250e-07	7.690832715280e-08
523.9495824007      	4.483471414119e-05	7.412221104880e-07	7.652735457399e-08
523.9525824007      	4.479547685069e-05	7.317491029835e-07	7.614419058741e-08
523.9555824007      	4.503071829429e-05	7.298544825100e-07	7.512857444748e-08
523.9585824007      	4.524723588437e-05	7.407614181866e-07	7.499184576966e-08
523.9615824007      	4.560815219575e-05	7.476304986105e-07	7.499693027022e-08
523.9645824007      	4.585332030171e-05	7.436478950017e-07	7.544884477047e-08
523.9675824007      	4.560495321360e-05	7.286622118464e-07	7.489374115321e-08
523.9705824007      	4.576737143973e-05	7.300024706506e-07	7.505437796912e-08
523.9735824007      	4.585180106772e-05	7.433559364827e-07	7.550106019599e-08
523.9765824007      	4.599976928171e-05	7.468405129519e-07	7.441506150131e-08
523.9795824007      	4.570094018612e-05	7.413867961815e-07	7.439295436183e-08
523.9825824007      	4.560808295374e-05	7.444646179905e-07	7.508196126648e-08
523.9855824007      	4.541717085917e-05	7.493254959938e-07	7.510482515671e-08
523.9885824007      	4.537025850213e-05	7.473167844604e-07	7.505061480332e-08
523.9915824007      	4.533764533915e-05	7.449625158570e-07	7.396878600234e-08
523.9945824007      	4.522465518030e-05	7.426112040800e-07	7.407777386090e-08
